Metric,SVD_2000s,Transformer_2020s,Winner
RMSE,0.7523202164922618,0.7689388394355774,SVD
MAE,0.561747922215801,0.5726546049118042,SVD
R²,0.43548892825065544,0.4102734327316284,SVD
Precision@10,0.8544250314034487,0.8641295103875593,Transformer
Cold Start Score,0.16112775208659913,0.13441710348473226,Transformer
Training Time (min),0.3930418531099955,26.56177045504252,SVD
